maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
79,42.86666667,67.2,0,35.4,5.333333333,0.01,11.6,39.58,-120.52,0
94.7,62.26666667,82.76666667,0,37.1,3.966666667,0,11.59333333,38.45,-121.34,0
87.8,59.9,77.6,0,40.13333333,6.933333333,0,11.6,34.54,-120.04,1
91.63333333,49.13333333,78.66666667,0,31.3,5,0,11.6,38.18,-120.56,1
81,61.43333333,73.83333333,0,37.7,5.8,0.003333333,11.6,34.36,-119.13,0
88.13333333,61.5,78.86666667,0,48.46666667,4.633333333,0,11.6,34.2,-118.26,1
76.1,54.2,68.6,0,56.63333333,6.466666667,0,11.5,38.53,-122.93,0
98.2,62.16666667,86.06666667,0,27.66666667,4.1,0,11.6,36.07,-119.82,0
87.66666667,59.43333333,78.06666667,0,52.2,4.6,0,11.6,33.02,-116.78,0
82.63333333,54.3,72.06666667,0,33.46666667,6.166666667,0,11.6,39.06,-120.72,0
69.4,59.26666667,65.46666667,0,66.53333333,6.7,0,11.59,37.73,-123.03,0
69.4,59.26666667,65.46666667,0,66.53333333,6.7,0,11.59,38.05,-122.75,0
71.3,52.93333333,64.86666667,0,28.3,6,0.026666667,11.6,37.57,-119.91,1
77.83333333,45.66666667,67.3,0,31.23333333,5.333333333,0.003333333,11.6,40.72,-120.63,1
87.4,52.83333333,75.23333333,0,45.53333333,5.5,0,11.59,38.51,-122.33,0
87.83333333,49.63333333,74.76666667,0,32.56666667,6.033333333,0,11.59,40.76,-122.04,0
91.16666667,54.13333333,78,0,40.4,4.033333333,0,11.59666667,36.24,-121.32,0
80.86666667,49.53333333,70.33333333,0,41.13333333,4.733333333,0,11.59,40.65,-123.11,1
82.36666667,51.73333333,71.43333333,0,47.3,5.366666667,0,11.59333333,39.43,-123.44,0
93.16666667,66.13333333,84.9,0,15.8,5.3,0,11.6,36.56,-117.4,0
71.5,38.06666667,60.8,0,30.46666667,4.533333333,0.023333333,11.42,37.92,-118.88,0
75.6,48.13333333,65.86666667,0,30.16666667,6.933333333,0.01,11.6,38.02,-119.96,1
91.46666667,56.5,78.8,0,43.06666667,5.4,0,11.59,38.27,-121.94,0
95,62.33333333,85.26666667,0,22.33333333,6.833333333,0,11.6,34.86,-116.18,1
89.2,57.13333333,77.6,0,47.33333333,5.3,0,11.59,37.92,-121.95,0
72.06666667,43.13333333,62.2,0,36.3,5.4,0.02,11.28,38.62,-119.8,0
80.86666667,52,70.3,0,34.1,6.166666667,0.003333333,11.6,38.79,-120.53,0
91.9,56.86666667,79.36666667,0,38.26666667,5.2,0,11.59,38.68,-121.9,0
90.7,59.36666667,79.03333333,0,30.2,5.666666667,0,11.59333333,39.27,-121.34,1
89.3,49.16666667,76.86666667,0,45.86666667,3.9,0,11.6,36.61,-121.09,0
73.03333333,53.33333333,65.73333333,0,59.96666667,7.7,0,11.59666667,40.71,-123.93,1
101.2666667,60.3,89.56666667,0,25.06666667,6.5,0,11.6,33.73,-116,0
96.03333333,51.43333333,79.83333333,0,24.96666667,4.266666667,0,11.6,35.35,-118.73,1
92.3,59,80.56666667,0,33.46666667,4.466666667,0,11.59,39.18,-122.24,0
71.93333333,54.76666667,66,0,61.33333333,9,0,11.55333333,41.75,-123.98,0
77.33333333,48.76666667,67.56666667,0,27.63333333,5.933333333,0,11.6,41.59,-120.72,1
96.8,63.03333333,85.6,0,23.73333333,4.066666667,0,11.6,36.76,-119.66,0
86.36666667,53.56666667,74.46666667,0,25.03333333,5.8,0.006666667,11.6,37.21,-119.75,0
87.2,51.16666667,75.4,0,50.63333333,3.933333333,0,11.59,37.22,-121.69,0
91.46666667,56.46666667,78.5,0,27.3,5.366666667,0,11.59,40.13,-122.23,0
94.6,57.53333333,81.63333333,0,38.56666667,4.833333333,0,11.59666667,37.93,-121.27,0
88.96666667,54.83333333,76.63333333,0,51.1,4.5,0,11.59,37.65,-121.91,0
78.8,50,68.16666667,0,35.63333333,6.033333333,0.003333333,11.6,39.3,-120.77,0
86.86666667,59.4,76.46666667,0,29.13333333,6.4,0,11.59,39.67,-121.6,0
97.43333333,63.66666667,85.53333333,0,29.8,5.166666667,0,11.6,37.19,-120.72,0
